Datum,Startzeit,Endzeit,Raum,Titel,Speaker,Kategorie
Wednesday,09:00,10:00,1,Keynote: AI is having its moment ... again,Jodie Burchell,Talk
Wednesday,10:20,11:20,1,Java Sucks (So C# Didn't Have To),Adele Carpenter,Talk
Wednesday,10:20,11:20,2,Navigating complexity in event-driven architectures: A domain-driven approach,David Boyne,Talk
Wednesday,10:20,11:20,2,The future & challenges of cloud,Anders Lybecker,Talk
Wednesday,10:20,11:20,3,Better Code Reviews FTW!,Tess Ferrandez-Norlander,Talk
Wednesday,10:20,11:20,5,Drop the Bass with Embedding and Vectors in Azure AI Search,Alan Smith,Talk
Wednesday,11:40,12:40,1,Modernizing your legacy application,Nico Vermeir,Talk
Wednesday,11:40,12:40,2,Your AI Agents Are Overprivileged: The Case for Fine-Grained Authorization,Ashish Jha,Talk
Wednesday,11:40,12:40,3,Using GenAI on and inside your code, what could possibly go wrong?,Niels Tanis,Talk
Wednesday,11:40,12:40,5,Code that writes code - .NET Source generators,Glenn F. Henriksen,Talk
Wednesday,13:40,14:40,1,.NET Aspire Beyond the Introduction,Chris Klug,Talk
Wednesday,13:40,14:40,2,Prompt. Build. Repeat. – The Vibe Coding Mindset,Daniel Sogl,Talk
Wednesday,13:40,14:40,3,Demystifying the Enigma Machine - a Functional Journey,Isaac Abraham,Talk
Wednesday,13:40,14:40,4,Part 1/2: Introduction to capture the flag(CTF) with walkthrough and hands-on practice,Mark Jervelund,Talk
Wednesday,13:40,14:40,6,Modern .NET Configuration Practices,Chris Ayers,Talk
Wednesday,13:40,14:40,6,Cross-platform development with .NET MAUI,Anjuli Jhakry,Talk
Wednesday,15:00,16:00,1,Migrating from a monolith to a new service,Connell Sharp,Talk
Wednesday,15:00,16:00,2,How To Not Strangle Your Coworkers: Resolving Conflict with Collaboration,Arthur Doler,Talk
Wednesday,15:00,16:00,3,"Would YOU Survive the Titanic?, with ML and .NET",Simon Painter,Talk
Wednesday,15:00,16:00,6,Accessibility Testing with Chrome DevTools,Josefine Schaefer,Talk
Wednesday,15:00,16:00,6,Building Trust in Open Source: A Practical Guide to Securing Your Software Supply Chain,Yash Pimple,Talk
Wednesday,16:20,17:20,1,The Chips and Pickle Story: What's Really Behind Infamous, Historic UI Failures?,Dean Schuster,Talk
Wednesday,16:20,17:20,2,Secure your Modular Monolith by pretending it's a cat,William Brander,Talk
Wednesday,16:20,17:20,3,Dehumanizing Agents: Why Explainability is Crucial in the LLM Era,Lucía Conde-Moreno,Talk
Wednesday,16:20,17:20,6,Cursed C#,Nick Chapsas,Talk
Wednesday,17:40,18:40,1,The Forgotten AI of Video Games,Layla Porter,Talk
Wednesday,17:40,18:40,2,Building the NDC Copenhagen Mobile App Live! with Blazor Hybrid,Gerald Versluis,Talk
Wednesday,17:40,18:40,3,Leading successful remote teams,Callum Whyte,Talk
Wednesday,17:40,18:40,6,Hybrid Caching in .NET,Jody Donetti,Talk
Wednesday,17:40,18:40,6,AI Coding Agents and how to code them,Alex Shershebnev,Talk
Thursday,09:00,10:00,1,Let’s catch up with C#! Exciting new features in C# 9, 10, 11, 12 and 13!,Filip Ekberg,Talk
Thursday,09:00,10:00,3,The Shopping Dead: An Accessible Live Web For The Unalive,Daniel Yuschick,Talk
Thursday,09:00,10:00,5,Typescript. Runtime. And in Between.,Ariel Shulman,Talk
Thursday,09:00,10:00,6,Managing Terraform modules at scale,Toni Petrina,Talk
Thursday,10:20,11:20,1,Demystifying authentication in ASP.NET Core,Tore Nestenius,Talk
Thursday,10:20,11:20,2,So You Want to Maintain a Reliable Event Driven System,James Eastham,Talk
Thursday,10:20,11:20,3,MCP with .NET: securely exposing your data to LLMs,Callum Whyte,Talk
Thursday,10:20,11:20,4,Part 1/2: Accessibility: A Little Bit Better Is Better Than Nothing,Lemon 🍋,Talk
Thursday,10:20,11:20,6,Are you sure your access tokens are really secure?,Wesley Cabus,Talk
Thursday,10:20,11:20,6,Going Passwordless - A Practical Guide to Passkeys in ASP.NET Core,Maarten Balliauw,Talk
Thursday,11:40,12:40,1,HTMX & ASP.NET Razor Pages – Web development without the JavaScript pains,Kevin DeRudder,Talk
Thursday,11:40,12:40,2,Beyond the Prompt: Evaluating, Testing, and Securing LLM Applications,Mete Atamel,Talk
Thursday,11:40,12:40,3,neo4j for the relational .NET developer,Chris Klug,Talk
Thursday,11:40,12:40,6,Building AI Agents and Multi-Agent Systems with Azure AI,Henri Schulte,Talk
Thursday,13:40,14:40,1,Algorithms Demystified,Dylan Beattie,Talk
Thursday,13:40,14:40,2,What we learned rebuilding the largest Nordic electronic retail website in Next.js?,Tomas Jansson,Talk
Thursday,13:40,14:40,3,Building Intelligent .NET MAUI Apps with ML.NET,Pieter Nijs,Talk
Thursday,13:40,14:40,6,Between the Layers– Interpreting Large Language Models,Michelle Frost,Talk
